part_num,name,part_cat_id,part_material
59443,Technic Axle Connector Smooth [with x Hole + Orientation],12,Plastic
44374,Technic Beam Rotor 3 Blade Thin,51,Plastic
86035,Hat / Cap Short Curved Peak,65,Plastic
30387,"Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth",18,Plastic
4161,Slope 33° 3 x 3,3,Plastic
60598,Window 2 x 4 x 3 Frame with Hollow Studs,16,Plastic
3192a,Door 1 x 3 x 4 Right with Thin Handle,16,Plastic
3633,Fence Lattice 1 x 4 x 1,32,Plastic
2539,Plate Special 6 x 6 Octagonal with Square Hole and 4 Clips (Boat Mast Platform),9,Plastic
6039,"Cone 2 x 2 x 1 2/3 Octagonal, Open Stud",20,Plastic
30386,"Hinge Brick 1 x 2 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth",18,Plastic
98578,"Large Figure Weapon Spiked Ball, Half",41,Plastic
6538a,Technic Axle Connector Ridged [with + Hole + Orientation],12,Plastic
6005,Brick Arch 1 x 3 x 2 Curved Top,37,Plastic
48912c01,Technic Shock Absorber 11.5L [Complete Assembly],25,Plastic
62359,Wheel Cover 7 Spoke for Wheel 55982,29,Plastic
3940a,Support Round 2 x 2 x 2 Stand with Blocked Center Hole,34,Plastic
3814,Torso [Plain],60,Plastic
32552,"Large Figure Weapon Sword, Hydraulics and 3 Holes",41,Plastic
61678,Slope Curved 4 x 1 No Studs [Stud Holder with Asymmetric Ridges],37,Plastic
11610,Cone 1 x 1 Inverted with Bar at Bottom (Ice Cream Cone),20,Plastic
47456,"Wedge Curved 2 x 3 x 2/3 Two Studs, Wing End",6,Plastic
15462,Technic Axle 5 with Stop,46,Plastic
61485,"Turntable 4 x 4 Square Base, Locking",18,Plastic
60475b,"Brick Special 1 x 1 with Clip Vertical [Open O Clip, Hollow Stud]",5,Plastic
6580a,Wheel 43.2 x 28 Balloon Small with + Shape Axle Hole,29,Plastic
30184,"Vehicle Base, Trailer 6 x 26 x 2 2/3",36,Plastic
6575,Technic Cam,26,Plastic
30190,Wheel Centre Wide with Stub Axles [Tricycle],29,Plastic
41769,Wedge Plate 4 x 2 Right,49,Plastic
6216a,"Motor, 4.5V Type 1 for 2-Prong Connectors without Middle Pin",45,Plastic
44822,Hinge Tile 1 x 4 Locking Dual 1 Fingers on Top [4 Locking Ridges],18,Plastic
2908,Technic Helicopter Rotor Holder with Towballs,26,Plastic
30147,Grille 1 x 2 x 2 Round Top [Lights & Centre Top Stud],36,Plastic
92280,Plate Special 1 x 2 [Top Clip],9,Plastic
30635,String Reel 1 x 4 x 2 Drum with Friction Spokes,31,Plastic
11002,Plate Special 2 x 2 with Wheels Holder Wide [Reinforced Underside],9,Plastic
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,Plastic
53543,Large Figure Limb Cover (Toa Inika),41,Plastic
3579,Door Frame 1 x 3 x 4,16,Plastic
4216,Brick Special 1 x 2 with Groove,5,Plastic
44771,Tyre 68.8 x 36 ZR,29,Rubber
52107,Brick Special 1 x 2 with Studs on 2 Sides,5,Plastic
4202,Brick 4 x 12,11,Plastic
50923,Technic Beam 1 x 2 with Ball Joint Angled,55,Plastic
3586,"Wedge, Plate 7 x 12 Wing Left",49,Plastic
61254,Tyre Offset Tread with Center Band 23 x 7,29,Rubber
2854,Technic Engine Crankshaft Center,25,Plastic
30033,Plate Special 2 x 2 with Bar Frame Octagonal,9,Plastic
60176,"Technic Axle Connector 2 x 3 with Ball Socket, Closed Sides, Squared Ends",12,Plastic
6159,Window 4 x 4 x 3 Roof with Centre Bar,16,Plastic
98342,Ring 4 x 4 with 2 x 2 Hole and 4 Snake Head Ends (Ninjago Spinner Crown),27,Plastic
3021,Plate 2 x 3,14,Plastic
47720,Plate Special 2 x 2 with Wheels Holder Wide - Technic Pins,9,Plastic
93571,"Technic Axle Connector 2 x 3 with Ball Socket, Open Lower Axle Holes",12,Plastic
11214,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,53,Plastic
3035,Plate 4 x 8,14,Plastic
2465,Brick 1 x 16,11,Plastic
61903,Technic Universal Joint 3L [Complete Assembly],25,Plastic
3009,Brick 1 x 6,11,Plastic
30219,"Bar 16L with Open Stud, Towball, and Slit [aka Windsurfer Mast]",35,Plastic
64648,"Animal, Fish [Hollow Stud Mouth]",28,Plastic
2840c02,"Hub / Controller, Technic Control Center II",45,Plastic
58827,"Support 2 x 2 x 10 Girder Triangular Vertical - Type 3 - Axle Hole, 3 Posts",34,Plastic
92690,Bar 1L with Top Stud and Two Side Studs,32,Plastic
3960,Dish 4 x 4 Inverted [Radar],21,Plastic
30225,"Baseplate 32 x 32 with 7-Stud Straight, Dual [Plain]",1,Plastic
4285a,"Dish 6 x 6 Inverted, Radar / Webbed [No Anti-studs]",21,Plastic
24246,Tile Round 1 x 1 Half Circle,67,Plastic
92692,Plate Special 1 x 2 with Angled Handles on Side,9,Plastic
47905,Brick Special 1 x 1 with Studs on 2 Sides,5,Plastic
61068,Slope Brick Curved 2 x 4 x 2/3 No Studs [No Bottom Tubes],37,Plastic
30541,Hinge Brick 1 x 2 Locking with 1 Finger Horizontal End,18,Plastic
2498,Street Sweeper Brush,36,Plastic
61054,Technic Axle and Pin Connector 2 x 7 with Two Ball Joint Sockets [Squared Ends],12,Plastic
2453b,Brick 1 x 1 x 5 with Solid Stud,11,Plastic
98397,Handlebars with Angular Handles,36,Plastic
2467,Panel 4 x 4 x 6 Corner Concave,23,Plastic
44571,Slope 45° 4 x 4 Double with Locking Hinge,18,Plastic
57519,Technic Tread Sprocket Wheel Large 10 Tooth,52,Plastic
63864,Tile 1 x 3,19,Plastic
27940,Technic Pin Connector Hub with 2 Axles,12,Plastic
2473,"Technic Driving Ring 2L, 8 Ridges",52,Plastic
69c01,Tap 1 x 2 Base with Light Gray Spout,27,Plastic
3023,Plate 1 x 2,14,Plastic
3037,Slope 45° 2 x 4,3,Plastic
6629,Technic Beam 1 x 9 Bent (6 - 4) Thick,51,Plastic
15070,Plate Special 1 x 1 with Vertical Tooth,9,Plastic
32140,Technic Beam 2 x 4 L-Shape Thick,51,Plastic
30031,Handlebars,36,Plastic
4495b,Flag 4 x 1 Wavy [First Wave Right],38,Plastic
11955,Technic Gear 8 Tooth No Friction,52,Plastic
607,Baseplate 32 x 32 with 9-Stud Crossroads [Plain],1,Plastic
2856,"Technic Turntable Large Type 1 Base, 56 Tooth",52,Plastic
64448,Support 1 x 6 x 5 Girder Rectangular,34,Plastic
820,Baseplate Raised 8 x 18 with Garage Floor Plate (Old style),1,Plastic
4214,Hinge Vehicle Roof Holder 1 x 4 x 2,18,Plastic
2671,"Vehicle Track, Monorail Track Straight Long",36,Plastic
32197,Wheel 81.6 x 34 ZR Three Spoke Swirl,29,Plastic
47508,Construction Vehicle Bucket 4 x 8 with Locking 2 Finger Hinge with 9 Teeth,36,Plastic
4228,Slope Inverted 33° 5 x 6 x 2,3,Plastic
2881,Train Pantograph Shoe with Hinge,36,Plastic
32034,Technic Axle and Pin Connector Angled #2 - 180°,12,Plastic
30145,Brick 2 x 2 x 3,11,Plastic
32020,Wheel 43.2 x 18 with Extended Axle Stem,29,Plastic
42289,"Motor Pullback 2 x 6 x 1 2/3 Type 2 [Fast] Black Base, White Axle",44,Plastic
6588,Technic Gearbox 2 x 4 x 3 1/3,26,Plastic
30179,Door Frame 1 x 4 x 6 Type 1,16,Plastic
76138,"Technic Shock Absorber 6.5L with Soft Spring, Standard Coil [Complete Assembly]",25,Plastic
767,Train Track Sleeper Plate 2 x 8 without Cable Grooves,36,Plastic
99499,"Motor, Large, Power Functions with Dark Bluish Gray Bottom",45,Plastic
24118,Technic Panel Car Mudguard Arched 15 x 2 x 5,40,Plastic
2412b,Tile Special 1 x 2 Grille with Bottom Groove,15,Plastic
3063a,Brick Round Corner 2 x 2 Macaroni without Stud Notch,20,Plastic
30359b,Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End),32,Plastic
4360,Equipment Camera with Side Sight [aka Space Gun],27,Plastic
2711,"Technic Plate 1 x 5 with Toothed Ends, 2 Studs and Center Axle Hole",26,Plastic
30192,Tool Grappling Hook,73,Plastic
6205,Plate Special 6 x 16 with Studs on 3 Edges,9,Plastic
86208,Weapon Gun / Torch (Space) [No Grooves],73,Plastic
47454,"Technic Brick Special 2 x 3 with Pin Holes, Rotation Joint Ball Half [Horizontal Top], Rotation Joint Socket",26,Plastic
4460a,Slope 75° 2 x 1 x 3 with Open Stud,3,Plastic
64299,"Large Figure Weapon Blade, Double Curved (Mata Nui Scarab Shield Half)",41,Plastic
6239,Tail Shuttle,35,Plastic
3816,"Leg, Right",61,Plastic
24326,"Vehicle Base 4 x 4 x 2/3 with Wheel Clip Pins, Wedge, 2 x 2 Recessed Center with Hole",36,Plastic
3034a,Plate 2 x 8 with Waffle Bottom,14,Plastic
3194,Door 1 x 5 x 4 Right,16,Plastic
98585,"Large Figure Weapon, Barrel with 2 Pin Holes and 3 Axle Holes",41,Plastic
30027b,Wheel 8 x 9 with Hole Notched for Wheels Holder Pin,29,Plastic
30384,Windscreen 7 x 4 x 2 Round,47,Plastic
2513,"Wheel Arch, Mudguard, Slope 3 x 4",36,Plastic
46212,Brick 1 x 2 x 5 without Side Supports,11,Plastic
4162,Tile 1 x 8 with Groove,19,Plastic
42074,"Large Figure Weapon, Claw / Tooth / Hook 2 x 3 with Axle and Hole",41,Plastic
52501,Slope Inverted 45° 6 x 1 Double with 1 x 4 Recessed,3,Plastic
6007,Brick Separator v1.0,56,Plastic
42060,Wedge Curved 12 x 3 Right,6,Plastic
2507,Windscreen 10 x 4 x 2 1/3 Canopy,47,Plastic
4176,"Windscreen 2 x 6 x 2, Wide Top",47,Plastic
18352,"Technic Steering Wheel Pilot's Yoke [Hollow Stud, Axle Hole with + Opening]",25,Plastic
3624,"Cap, Police Style",65,Plastic
6538b,Technic Axle Connector Ridged [with x Hole x Orientation],12,Plastic
50303,Wedge Plate 7 x 6 Boat Bow with Stud Notches,49,Plastic
4611,Door 1 x 6 x 7 Barred,16,Plastic
13548,Wedge Sloped 45° 2 x 2 Corner,6,Plastic
42061,Wedge Curved 12 x 3 Left,6,Plastic
2512,"Tipper Bed Small, 3 x 4 Anti-studs",36,Plastic
30385,Rock 1 x 1 Crystal 5 Point,33,Plastic
4692c01,Technic Pneumatic Distribution Block 2 x 4 [Complete Assembly],22,Plastic
570,Technic Gear 15 Large Tooth,52,Plastic
3195,Door 1 x 5 x 4 Left,16,Plastic
23306,Weapon Lightsaber Hilt without Bottom Ring,73,Plastic
3817,"Leg, Left",61,Plastic
32551,"Large Figure Weapon, Claw Hook with Axle",41,Plastic
10928,Technic Gear 8 Tooth [Reinforced],52,Plastic
60475a,"Brick Special 1 x 1 with Clip Vertical [Thick U Clip, Solid Stud]",5,Plastic
4349,"Equipment Weapon, Loudhailer / Speaker / Blaster / Space Gun",27,Plastic
970c11,Hips and Dark Tan Legs,61,Plastic
89648,Window 2 x 8 x 2 Boat,47,Plastic
6238,Windscreen 4 x 4 x 1,47,Plastic
15461,Technic Pin Connector 3L with 2 Pins and Center Hole,12,Plastic
47455,Technic Rotation Joint Ball Loop with Two Perpendicular Pins with Friction,53,Plastic
970c05,Hips and Dark Blue Legs,61,Plastic
969,Trailer Stand,36,Plastic
98989,Technic Axle and Pin Connector Perpendicular Double 4L,12,Plastic
30193,Tool Ice Axe [6-Rib Handle],73,Plastic
99301,Slope 33° 3 x 3 Double Concave,3,Plastic
42511,Sports Skateboard with Trolley Wheel Holders,27,Plastic
6576,Plate Special 4 x 8 with Studs in Centre,9,Plastic
99498,"Motor, Servo, Power Functions with Dark Bluish Gray Bottom",45,Plastic
24119,Technic Panel Curved 7 x 3 with 2 Pin Holes through Panel Surface,40,Plastic
18838,Brick Arch 1 x 12 x 3 Raised Arch with 5 Cross Supports,37,Plastic
32009,Technic Beam 1 x 11.5 Double Bent Thick,51,Plastic
6589,Technic Gear 12 Tooth Bevel,52,Plastic
772,Brick 1 x 2 x 2 without Bottom Tube,11,Plastic
44809,Technic Pin Connector Perpendicular 2 x 2 Bent,12,Plastic
73194c03,Door 1 x 4 x 5 Right with Trans-Brown Glass,16,Plastic
30144,Brick 2 x 4 x 3,11,Plastic
58367,Equipment Hose Nozzle / Gun with Side String Hole,27,Plastic
3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9,Plastic
2880,Hinge Bar 2.5L with 2 and 3 Fingers on Ends (Pantograph Shoe Holder),18,Plastic
4229,"Engine, Strakes, 2 x 2 Thin Top Plate",35,Plastic
32828,Plate Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,9,Plastic
75,Hose Rigid 3mm D. [Undetermined Length Type],30,Plastic
4201,Brick 8 x 8,11,Plastic
60808,Panel 1 x 4 x 5 with Arched Window,23,Plastic
2670,"Vehicle Track, Monorail Straight Short",36,Plastic
22391,Wedge Sloped 4 x 4 Pointed,6,Plastic
821,Garage Door Frame (Old style) - Studs,16,Plastic
44772,Wheel 56 x 34 Technic Racing Medium with 3 Pin Holes,29,Plastic
64449,Support 1 x 6 x 10 Girder Triangular,34,Plastic
4598,Bracket 3 x 2 - 2 x 2 [aka Space Seat],9,Plastic
88393,Brick Special 1 x 2 x 5 with Groove,5,Plastic
3585,"Wedge, Plate 7 x 12 Wing Right",49,Plastic
606,Baseplate 32 x 32 with 9-Stud Straight [Plain],1,Plastic
11954,Technic Panel Curved 11 x 3 with 10 Pin Holes through Panel Surface,40,Plastic
60607,Window 1 x 2 x 3 Pane Latticed with Thick Corner Tabs,16,Plastic
3036,Plate 6 x 8,14,Plastic
15071,Weapon Gun / Blaster 1 x 2 x 2/3 with Studs on Sides and Handle,73,Plastic
6628,Technic Pin with Friction Ridges Lengthwise and Towball,53,Plastic
11203,Tile Special 2 x 2 Inverted,15,Plastic
973c31h01,"Torso, Green Arms, Yellow Hands [Plain]",60,Plastic
98341,Ring 4 x 4 with 2 x 2 Opening and 4 Arrow Ends (Ninjago Spinner Crown),27,Plastic
3022,Plate 2 x 2,14,Plastic
17114,Technic Brick Special 2 x 2 with 10.2mm Balls with Holes and Axle Hole,26,Plastic
57518,Technic Link Tread Wide with Two Pin Holes,26,Plastic
44570,"Hinge Plate 3 x 4 Locking Dual 2 Finger, 9 Teeth",18,Plastic
2300,Duplo Brick 2 x 6,4,Plastic
2840c01,"Hub / Controller, Technic Control Center I",45,Plastic
973c27h01pr0040,"Torso Vest with Rescue Coast Guard Logo, ID Badge, Red Collar, Zipper Print, White Arms, Yellow Hands",60,Plastic
3665a,Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole],3,Plastic
3787,"Wheel Arch, Mudguard 2 x 4 [Smooth]",36,Plastic
31110,Duplo Brick 2 x 2 x 2,4,Plastic
30540,"Hinge Brick 1 x 2 Locking with 2 Fingers Horizontal End, 9 Teeth",18,Plastic
61069,Technic Engine Block Half / Side Intake Panel,40,Plastic
4285b,"Dish 6 x 6 Inverted, Radar / Webbed [Anti-studs at 90°]",21,Plastic
12939,Brick Arch 1 x 6 x 2 - Very Thin Top without Reinforced Underside,37,Plastic
3963,Brick Special 1 x 1 with 3 Speakers / Loudspeakers / Space Positioning Rockets,35,Plastic
92693,Technic Linear Actuator Mini with Dark Bluish Gray Head and Orange Axle,26,Plastic
30554,Hinge Cylinder 1 x 3 Locking with 1 Finger and 2 Fingers On Ends [Undetermined Opening],18,Plastic
3957b,Antenna 1 x 4 with Flat Top,32,Plastic
973c17h01,"Torso, Light Gray Arms, Yellow Hands [Plain]",60,Plastic
2489,Barrel 2 x 2 x 2,7,Plastic
30236,Brick Special 1 x 2 with Handle,5,Plastic
4093c,"Vehicle Base, Train 6 x 28 with Two 1 x 2 Openings [6 Round Holes Each End and 1 Round Hole at Center]",36,Plastic
3026,Plate 6 x 24,14,Plastic
14419,Plate Special 1 x 2 with 5.9mm Towball Socket and Towball,9,Plastic
3740,Tyre 24 x 43 Technic,29,Rubber
3754,Brick 1 x 6 x 5,11,Plastic
11213,Plate Round 6 x 6 with Hole,21,Plastic
3058a,Plate Special 6 x 16 with Motor Opening Narrow,9,Plastic
3032,Plate 4 x 6,14,Plastic
57520,Technic Tread Sprocket Wheel Small 6 Tooth,52,Plastic
61904,Technic Axle and Pin Connector Block 4 x 3 x 2 1/2 [Linear Actuator Holder],12,Plastic
2462,Wedge 3 x 3 Facet,6,Plastic
3581,Brick Special 1 x 1 x 2 with Shutter Holder,5,Plastic
4588,"Brick Round 1 x 1 with Fins, Open Stud",20,Plastic
59900,Cone 1 x 1 [Top Groove],20,Plastic
18948,Technic Driving Ring Connector,12,Plastic
2853,Technic Engine Crankshaft,25,Plastic
60603,Glass for Window 1 x 4 x 3 [Opening],16,Plastic
11950,Technic Steering Portal with 2 Pin Holes,25,Plastic
48170,"Technic Brick Special 2 x 2 with Pin Hole, Rotation Joint Ball Half [Horizontal Top]",26,Plastic
59,Weapon Sword / Greatsword Round,73,Plastic
53550,"Large Figure Weapon, Zamor Sphere Holder",41,Plastic
98153,Snake / Cobra Hood and Tail [Plain],65,Plastic
973c17h01pr0041,"Torso Jacket with Rescue Coast Guard Logo, Red Tie, Buttons Print, Light Gray Arms, Yellow Hands",60,Plastic
2890,"Vehicle Track, Monorail Point Left",36,Plastic
4211,"Vehicle Base 4 x 5 with Wheel Arches, 2 x 2 Opening",36,Plastic
32186,Technic Steering Gear with 3 Ball Joints,25,Plastic
32192,Technic Axle and Pin Connector Angled #4 - 135°,12,Plastic
2878c01,"Wheel Holder, Train with Wheels [Complete Assembly]",36,Plastic
32019,Tyre 62.4 x 20,29,Rubber
2909c01,Technic Shock Absorber 9.5L [Undetermined Spring Type],25,Plastic
992,"Vehicle Track, Train, 12V Slotted Crossing",45,Plastic
30632,Grille 6 x 4 x 3 [2 Pins & 2 Pin Holes],36,Plastic
24121,"Technic Gear Rack 1/4 Circle 11 x 11, 35 Teeth",52,Plastic
30154,Equipment Sextant,27,Plastic
970c01,Hips and Yellow Legs,61,Plastic
61482,Equipment Handcuffs,27,Plastic
41752,Rubber Band / Belt Holder 2 x 4 x 2 1/3,31,Plastic
6572,Technic Steering Knuckle Arm with Ball Joint,25,Plastic
765c01,"Electric Connector, 1 Way Male Squared [Complete Assembly]",45,Plastic
33299b,Technic Beam 3 x 0.5 Liftarm with Boss and Pin Semi-Reduced,55,Plastic
30183,Slope Inverted 45° 6 x 4 Double with Recessed Center,3,Plastic
10247,Plate Special 2 x 2 with 1 Pin Hole [Complete Underside Rib],9,Plastic
3191,Door 1 x 3 x 3 Left,16,Plastic
92907,Technic Axle and Pin Connector Perpendicular Split,12,Plastic
3185,Fence Lattice 1 x 4 x 2,32,Plastic
64713,"Cone Jagged, Drill Tip",20,Plastic
32555,Technic Brick 5 x 5 Right Angle (1 x 4 - 1 x 4),8,Plastic
30342,"Rock Arctic Globe, Bottom",33,Plastic
4085c,Plate Special 1 x 1 with Clip Vertical [Thick U Clip],9,Plastic
30356,Wedge Plate 6 x 12 Right,49,Plastic
24445,Tile Special 1 x 2 with Minifig Neck Pin,15,Plastic
22961,Technic Pin Connector Hub with 1 Axle,12,Plastic
6016,Bar 1 x 4 x 3 Window [Side Tabs],32,Plastic
2516,Tool Chainsaw / Drill Body,73,Plastic
40666,Duplo Plate 2 x 4,4,Plastic
30395,Hook with Towball,34,Plastic
30394,Construction Vehicle Bucket 3 x 6 with 9 Hinge Teeth,36,Plastic
6003,Plate Round Corner 6 x 6,21,Plastic
4614,"Fabuland, Equipment Car Jack",42,Plastic
4600,Plate Special 2 x 2 with Wheel Holders,9,Plastic
4166,"Vehicle Track, Train, Sleeper Plate 2 x 8 with Cable Grooves",36,Plastic
15100,Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise,12,Plastic
15672,Slope 45° 2 x 1 with 2/3 Cutout [New Version],3,Plastic
63082,"Plate Special 2 x 2 with Towball Socket, Short, Flattened with Holes and Axle Hole in Center",9,Plastic
6542b,Technic Gear 16 Tooth with Clutch [Smooth],52,Plastic
30357,Plate Round Corner 3 x 3,21,Plastic
4085b,Plate Special 1 x 1 with Clip Vertical [Thin U Clip],9,Plastic
11399,Plate Special 4 x 4 with Clips Horizontal (thick open O clips),9,Plastic
60212,"Wheel Arch, Mudguard 2 x 4 Studded with Hole",36,Plastic
64712,Wheel Hard Plastic with Small Cleats and Flanges,29,Plastic
3035a,Plate 4 x 8 with Waffle Bottom,14,Plastic
6942,Dish 5 x 5,21,Plastic
54821,"Projectile, Large Figure Weapon, Zamor Sphere / Ball",68,Plastic
3184,Plate Special 1 x 4 with Towball,9,Plastic
3190,Door 1 x 3 x 3 Right,16,Plastic
55295,Tool Hammer Cross Pein [6-Rib Handle],73,Plastic
92906,Technic Steering / CV Joint Axle,25,Plastic
15458,Technic Panel 3 x 11 x 1,40,Plastic
62808,Equipment Key,27,Plastic
30182,Slope 45° 4 x 4,3,Plastic
6573,"Technic Gear Differential, 24 -16 Tooth with Clutch on Both Sides",52,Plastic
6215,Brick Curved 2 x 3,37,Plastic
41753,Rubber Band / Belt Holder 2 x 6 x 2 1/3,31,Plastic
61483,Technic Pin with Dual Wheels Holder,35,Plastic
41747,"Wedge Curved 6 x 2 Right, Inner Ridges",6,Plastic
3437,Duplo Brick 2 x 2,4,Plastic
92279,Windscreen 7 x 4 x 2 Round with Handle,47,Plastic
15470,Plate Round 1 x 1 Swirled Top,21,Plastic
30155,Wheel Spoked 2 x 2 with Pin Hole,29,Plastic
24120,Technic Digger Bucket 4 x 7,26,Plastic
30141,Weapon Rifle/Gun,73,Plastic
64276,"Technic Beam 1 x 2 with Ball Joint Straight, Smooth Ball",55,Plastic
32018,Technic Brick 1 x 14 [13 Pin Holes],8,Plastic
4518ac01,"Forklift Mast and Carriage, Wide 1 x 2 Hinge Plate and Light Gray Wide Forks [Complete Assembly]",36,Plastic
2926,Plate Special 1 x 4 with Wheels Holder,9,Plastic
30169,"Animal, Scorpion",28,Plastic
3062a,Brick Round 1 x 1 Solid Stud,20,Plastic
4204,Brick 8 x 16,11,Plastic
4210,Equipment Hose Nozzle Simple,27,Plastic
32187,"Technic Driving Ring Extension, 4 Ridges",52,Plastic
42448,Gate 1 x 4 x 9 Arched with Bars and Three Studs,16,Plastic
3231,"Vehicle Track, Train, 4.5V Crossing",36,Plastic
2891,"Vehicle Track, Monorail Curve Short Right",36,Plastic
91176,Support 2 x 2 x 13 with 5 Pin Holes,34,Plastic
818,Tipper Bucket 4 x 6 x 2,36,Plastic
48171,"Technic Brick Special 2 x 2 with Pin Hole, Rotation Joint Ball Half [Vertical Side]",26,Plastic
3648a,Technic Gear 24 Tooth [Old Style - Three axle holes],52,Plastic
57051,"Train Wheel RC Train, Metal Axle 5 x 100 LDU",36,Metal
6153b,"Wedge Sloped 6 x 4 Cutout, Stud Notches",6,Plastic
60616,Door 1 x 4 x 6 Smooth [Undetermined Stud Handle],16,Plastic
30035,Equipment Space Scanner,27,Plastic
60602,Glass for Window 1 x 2 x 3 Flat Front,16,Plastic
61252,Plate Special 1 x 1 with Clip Horizontal [Thick Open O Clip],9,Plastic
53586,"Technic Axle and Pin Connector, Perpendicular with Extension",12,Plastic
2852,Technic Engine Connecting Rod,25,Plastic
4589,Cone 1 x 1 [No Top Groove],20,Plastic
4006,Tool Screwdriver and Spanner / Wrench,73,Plastic
9244,Technic Universal Joint 4L [Complete Assembly],25,Plastic
30586,Plate Special 2 x 8 with Door Rail,9,Plastic
30592,"Brick Special 2 x 4, with 2 x 2 Brick with Top Pin and 1 x 2 Side Plates",5,Plastic
2463,Wedge Sloped 3 x 3 x 2 Facet Top,6,Plastic
61905,Technic Axle and Pin Connector Block 3 x 3 x 2 [Linear Actuator Holder],12,Plastic
11212,Plate 3 x 3,14,Plastic
3755,Brick 1 x 3 x 5 without Side Supports,11,Plastic
3033,Plate 6 x 10,14,Plastic
15712,Tile Special 1 x 1 with Clip with Rounded Edges,15,Plastic
14418,Plate Special 1 x 2 5.9mm Towball Socket,9,Plastic
15706,Wedge Plate 4 Stud 45° Angle Plate,49,Plastic
